learning_rate,batch_size,dropout_rate,train_losses,train_accuracies,test_accuracies
0.0001,32,0.2,"[0.44474324021882156, 0.30456796942687614, 0.24438159221071537, 0.18941484505568093, 0.13777173132431217, 0.1168751862293821, 0.10018655777098687, 0.07106177951019954, 0.05566963959273284, 0.04052127439801286, 0.029570982690022243, 0.023284186877128556, 0.019152253523953562, 0.01496099896910714, 0.017077631230382778, 0.010068356518338366, 0.008342479027777426, 0.007008925944990744, 0.005228044176701366, 0.005280321474542948, 0.004916928307251717, 0.0029864277626289342, 0.0030844034310960307, 0.002653152824992814, 0.0026877436035396]","[0.7951219512195122, 0.8682926829268293, 0.8951219512195122, 0.9300813008130081, 0.9552845528455285, 0.9715447154471545, 0.967479674796748, 0.9813008130081301, 0.9861788617886179, 0.9926829268292683, 0.9975609756097561, 0.9983739837398374, 0.9991869918699187, 0.9991869918699187, 0.9983739837398374, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8344155844155844, 0.8344155844155844, 0.8961038961038961, 0.9090909090909091, 0.9058441558441559, 0.9253246753246753, 0.9383116883116883, 0.9383116883116883, 0.9545454545454546, 0.9448051948051948, 0.9512987012987013, 0.9383116883116883, 0.961038961038961, 0.9415584415584416, 0.9577922077922078, 0.9642857142857143, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.961038961038961]"
0.0001,32,0.3,"[0.45809102872522867, 0.3299220805245686, 0.2572288664860454, 0.19659985325079624, 0.15649329680737442, 0.12885158406040534, 0.10464590285124818, 0.08134142700431309, 0.06277120446528846, 0.04632788844467178, 0.04659765806139969, 0.03682707726834266, 0.02249679771986434, 0.02344384013516147, 0.015204959898823645, 0.011771358416332462, 0.009001868384761538, 0.008077578706954552, 0.007053640053978538, 0.0054027816131180986, 0.0050469658981130375, 0.004588567119326473, 0.0049671107132699555, 0.004510457871284911, 0.0032700595919163975]","[0.7878048780487805, 0.8520325203252033, 0.8934959349593496, 0.9252032520325203, 0.9471544715447154, 0.9585365853658536, 0.9723577235772358, 0.9788617886178862, 0.9878048780487805, 0.9910569105691057, 0.9902439024390244, 0.9926829268292683, 0.9975609756097561, 0.9983739837398374, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8051948051948052, 0.8701298701298701, 0.9123376623376623, 0.9188311688311688, 0.922077922077922, 0.948051948051948, 0.9512987012987013, 0.9448051948051948, 0.961038961038961, 0.9448051948051948, 0.9383116883116883, 0.9642857142857143, 0.9642857142857143, 0.9415584415584416, 0.9642857142857143, 0.9577922077922078, 0.9642857142857143, 0.9675324675324676, 0.9707792207792207, 0.9642857142857143, 0.961038961038961, 0.9675324675324676, 0.9675324675324676, 0.9707792207792207, 0.9707792207792207]"
0.0001,32,0.4,"[0.4334282083724572, 0.31396310935175514, 0.23822294921894382, 0.1924342381760357, 0.15610387109644044, 0.13004516658744192, 0.0968102262332672, 0.06988304066585331, 0.06384957874935816, 0.0477640727065443, 0.03737035655393833, 0.03675285131799254, 0.02231304909034473, 0.014962154211915605, 0.013273801954417694, 0.0128011952192197, 0.008533215921796192, 0.008813434082075832, 0.007091495876647229, 0.006441148717668119, 0.005214057324030172, 0.0037627937029895745, 0.004463439007721296, 0.0032166904145170274, 0.00360488631739849]","[0.7869918699186992, 0.8723577235772357, 0.908130081300813, 0.9260162601626016, 0.9439024390243902, 0.948780487804878, 0.9715447154471545, 0.9821138211382113, 0.9829268292682927, 0.9902439024390244, 0.9934959349593496, 0.9902439024390244, 0.9991869918699187, 0.9991869918699187, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8116883116883117, 0.8506493506493507, 0.8896103896103896, 0.9253246753246753, 0.935064935064935, 0.8993506493506493, 0.9448051948051948, 0.9415584415584416, 0.948051948051948, 0.9383116883116883, 0.9512987012987013, 0.9448051948051948, 0.9545454545454546, 0.9545454545454546, 0.9545454545454546, 0.9577922077922078, 0.9577922077922078, 0.9642857142857143, 0.9642857142857143, 0.9512987012987013, 0.961038961038961, 0.961038961038961, 0.9642857142857143, 0.9642857142857143, 0.961038961038961]"
0.0001,64,0.2,"[0.46069873115880705, 0.33353795641806067, 0.27160620679700276, 0.22704392981723073, 0.18288394697313387, 0.1748104786969782, 0.12788935429681608, 0.11308755764389426, 0.09592971546136267, 0.0796417412113368, 0.07158573424307312, 0.0568041750873492, 0.04489250349077752, 0.041956719253363646, 0.037316340619955604, 0.02580170434543757, 0.025446866819165588, 0.020096178822279945, 0.016433533067565138, 0.013649062271706942, 0.011377578169652602, 0.00977435106699302, 0.008416308073054364, 0.007809529015870113, 0.008009265570681753]","[0.7902439024390244, 0.8528455284552846, 0.8845528455284553, 0.9121951219512195, 0.9365853658536586, 0.9317073170731708, 0.9642276422764228, 0.9666666666666667, 0.9723577235772358, 0.9796747967479674, 0.9813008130081301, 0.9869918699186991, 0.9943089430894309, 0.9951219512195122, 0.991869918699187, 0.9983739837398374, 0.9991869918699187, 0.9983739837398374, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7435064935064936, 0.8474025974025974, 0.8733766233766234, 0.9123376623376623, 0.9090909090909091, 0.9285714285714286, 0.9577922077922078, 0.9383116883116883, 0.9577922077922078, 0.9545454545454546, 0.9545454545454546, 0.9642857142857143, 0.961038961038961, 0.9577922077922078, 0.9577922077922078, 0.9577922077922078, 0.9545454545454546, 0.9642857142857143, 0.9577922077922078, 0.9642857142857143, 0.961038961038961, 0.9675324675324676, 0.9642857142857143, 0.9642857142857143, 0.9707792207792207]"
0.0001,64,0.3,"[0.4713045174513406, 0.35691826687595707, 0.28640835847311874, 0.2449165277122482, 0.21265894244841443, 0.1832970985067569, 0.15305197234076212, 0.12931479760786382, 0.10916726906003991, 0.08529291648447998, 0.07091857369353131, 0.06470343265833893, 0.06493816235201146, 0.04553715349818633, 0.060384256865193206, 0.04202598033064022, 0.02686174363503611, 0.02153416321408458, 0.019183135117457166, 0.015758294863550643, 0.01585500512453841, 0.012293914351158026, 0.009183545184995586, 0.008975086170362263, 0.008539164694768142]","[0.7796747967479675, 0.8357723577235773, 0.8821138211382114, 0.908130081300813, 0.9138211382113821, 0.9333333333333333, 0.9552845528455285, 0.9585365853658536, 0.9642276422764228, 0.9772357723577236, 0.9829268292682927, 0.9796747967479674, 0.9829268292682927, 0.991869918699187, 0.9780487804878049, 0.989430894308943, 0.9975609756097561, 0.9991869918699187, 0.9983739837398374, 0.9991869918699187, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0]","[0.7467532467532467, 0.8084415584415584, 0.8766233766233766, 0.8863636363636364, 0.9025974025974026, 0.9155844155844156, 0.9285714285714286, 0.9415584415584416, 0.9448051948051948, 0.9448051948051948, 0.9512987012987013, 0.9383116883116883, 0.9577922077922078, 0.9383116883116883, 0.9577922077922078, 0.9577922077922078, 0.9545454545454546, 0.9675324675324676, 0.9675324675324676, 0.961038961038961, 0.9642857142857143, 0.9577922077922078, 0.9675324675324676, 0.9642857142857143, 0.9642857142857143]"
0.0001,64,0.4,"[0.5187894251288437, 0.38349185639280614, 0.3193149932031709, 0.2840246417052378, 0.24674852318395443, 0.2304416088553948, 0.1896090086034643, 0.1544425661486339, 0.13813145693724718, 0.1256576639183653, 0.09793969407314207, 0.08580800951496373, 0.07861815624363054, 0.06371800189580375, 0.061195627443977, 0.04996187099354054, 0.0400749862648365, 0.03312000985128608, 0.027311368895376602, 0.022847918424058734, 0.01967353813229053, 0.016951471882137827, 0.01604620205253605, 0.01690269282382981, 0.014866791603276582]","[0.7569105691056911, 0.8276422764227642, 0.859349593495935, 0.8796747967479674, 0.8959349593495934, 0.9105691056910569, 0.9317073170731708, 0.9504065040650407, 0.9495934959349593, 0.959349593495935, 0.9699186991869919, 0.9813008130081301, 0.9788617886178862, 0.9878048780487805, 0.9861788617886179, 0.9943089430894309, 0.9926829268292683, 0.9967479674796748, 0.9991869918699187, 0.9991869918699187, 0.9991869918699187, 0.9991869918699187, 1.0, 0.9991869918699187, 0.9991869918699187]","[0.7402597402597403, 0.8116883116883117, 0.8603896103896104, 0.8701298701298701, 0.8766233766233766, 0.9155844155844156, 0.9188311688311688, 0.948051948051948, 0.9090909090909091, 0.9383116883116883, 0.9415584415584416, 0.9577922077922078, 0.9675324675324676, 0.9448051948051948, 0.9545454545454546, 0.9707792207792207, 0.9512987012987013, 0.9577922077922078, 0.9707792207792207, 0.961038961038961, 0.9577922077922078, 0.961038961038961, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143]"
0.0001,128,0.2,"[0.5676523095708552, 0.4225844427822082, 0.3637494848995674, 0.3215007505765775, 0.2919006263337484, 0.2590668790708712, 0.22965634046046715, 0.20748198633271503, 0.18738596211603986, 0.1756170313048169, 0.1461463268573691, 0.1374542483469335, 0.11971893062194189, 0.10676697893598215, 0.09437074654591762, 0.0821118811281716, 0.07828744230716209, 0.06711090609310119, 0.05683397909368926, 0.04797241917349459, 0.04967530135337899, 0.04386960289221469, 0.03606276444303311, 0.03225671585982408, 0.02639785058705545]","[0.7138211382113822, 0.8146341463414634, 0.8317073170731707, 0.8634146341463415, 0.875609756097561, 0.9016260162601626, 0.9097560975609756, 0.9186991869918699, 0.9349593495934959, 0.9349593495934959, 0.9536585365853658, 0.9552845528455285, 0.9666666666666667, 0.9682926829268292, 0.9747967479674797, 0.9829268292682927, 0.9829268292682927, 0.9878048780487805, 0.9902439024390244, 0.9934959349593496, 0.9902439024390244, 0.9910569105691057, 0.9951219512195122, 0.9975609756097561, 0.9991869918699187]","[0.7402597402597403, 0.7402597402597403, 0.75, 0.814935064935065, 0.8571428571428571, 0.8668831168831169, 0.8896103896103896, 0.8993506493506493, 0.8961038961038961, 0.9155844155844156, 0.922077922077922, 0.922077922077922, 0.9285714285714286, 0.9415584415584416, 0.9415584415584416, 0.9448051948051948, 0.9285714285714286, 0.948051948051948, 0.948051948051948, 0.9512987012987013, 0.9512987012987013, 0.9512987012987013, 0.9512987012987013, 0.9545454545454546, 0.9545454545454546]"
0.0001,128,0.3,"[0.5064616750895492, 0.3987051321723597, 0.3531851394147408, 0.3058054950663714, 0.275140810497408, 0.25029801096373455, 0.22405902365358865, 0.1976902300991663, 0.1763554459907175, 0.15856681453987834, 0.14515120367693707, 0.1260853224532391, 0.11200554026820796, 0.0994118786803106, 0.10086409405964177, 0.09475329463801734, 0.07259119011280013, 0.05910386029418891, 0.052797979455653246, 0.046696165155589095, 0.04130651273620807, 0.03786317816958195, 0.03573571454763897, 0.028846647239070596, 0.024246655743781143]","[0.7430894308943089, 0.8219512195121951, 0.8333333333333334, 0.8609756097560975, 0.8902439024390244, 0.8926829268292683, 0.916260162601626, 0.9235772357723577, 0.932520325203252, 0.9422764227642276, 0.9447154471544715, 0.9560975609756097, 0.9666666666666667, 0.9747967479674797, 0.9707317073170731, 0.9666666666666667, 0.9804878048780488, 0.9910569105691057, 0.9886178861788618, 0.9926829268292683, 0.9943089430894309, 0.9967479674796748, 0.9951219512195122, 0.9983739837398374, 0.9983739837398374]","[0.7435064935064936, 0.7435064935064936, 0.801948051948052, 0.827922077922078, 0.8441558441558441, 0.8636363636363636, 0.8766233766233766, 0.8896103896103896, 0.9123376623376623, 0.9090909090909091, 0.9253246753246753, 0.9318181818181818, 0.9123376623376623, 0.9318181818181818, 0.9318181818181818, 0.9285714285714286, 0.961038961038961, 0.9285714285714286, 0.9512987012987013, 0.9577922077922078, 0.9512987012987013, 0.9577922077922078, 0.9512987012987013, 0.9512987012987013, 0.9545454545454546]"
0.0001,128,0.4,"[0.5491237643772994, 0.4395832444594158, 0.38259739904868895, 0.33449296990061195, 0.29810178500365436, 0.2687450849670705, 0.243239244479474, 0.21597385874124078, 0.20214537997555926, 0.17564325284182541, 0.15384634781659134, 0.1382836108042942, 0.1234277748722371, 0.10588728185833954, 0.09752846107008012, 0.08728467345964618, 0.07964382510844285, 0.07085358579226626, 0.0623591348892305, 0.05765985878623598, 0.055806688879563554, 0.042022448223901956, 0.03437401494844173, 0.03159313649544871, 0.029475582439482697]","[0.7382113821138211, 0.7983739837398374, 0.8252032520325203, 0.8569105691056911, 0.8731707317073171, 0.8943089430894309, 0.9097560975609756, 0.9195121951219513, 0.9178861788617886, 0.9422764227642276, 0.9463414634146341, 0.9569105691056911, 0.9650406504065041, 0.9707317073170731, 0.9707317073170731, 0.975609756097561, 0.9829268292682927, 0.983739837398374, 0.989430894308943, 0.9861788617886179, 0.9869918699186991, 0.9951219512195122, 0.9983739837398374, 0.9967479674796748, 0.9967479674796748]","[0.7402597402597403, 0.7402597402597403, 0.7597402597402597, 0.8311688311688312, 0.8636363636363636, 0.8636363636363636, 0.8928571428571429, 0.9123376623376623, 0.922077922077922, 0.9253246753246753, 0.9318181818181818, 0.9285714285714286, 0.9383116883116883, 0.9448051948051948, 0.9448051948051948, 0.9415584415584416, 0.9545454545454546, 0.9577922077922078, 0.9512987012987013, 0.9577922077922078, 0.9577922077922078, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.9577922077922078]"
0.001,32,0.2,"[0.47584152396132307, 0.3235551265439367, 0.22969482432051402, 0.19799024254325928, 0.15279409008297493, 0.12048321360858476, 0.06974293751324095, 0.041414382039168016, 0.02217092090248456, 0.03497207438709533, 0.03959012571873704, 0.021586897764052076, 0.009321363162007032, 0.003957991628544178, 0.001955253051828623, 0.0009220134251802115, 0.0006649410971099647, 0.0012964387328223879, 0.0006818165181098672, 0.0006165464964744492, 0.0003945497903836573, 0.0003912204314696194, 0.0003648670099209994, 0.000280455485146258, 0.0002698505696416094]","[0.7829268292682927, 0.8617886178861789, 0.9, 0.9130081300813008, 0.9333333333333333, 0.9536585365853658, 0.9747967479674797, 0.9886178861788618, 0.9943089430894309, 0.983739837398374, 0.9845528455284552, 0.991869918699187, 0.9975609756097561, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8051948051948052, 0.8214285714285714, 0.8831168831168831, 0.922077922077922, 0.9577922077922078, 0.9545454545454546, 0.9383116883116883, 0.9383116883116883, 0.9512987012987013, 0.9285714285714286, 0.9545454545454546, 0.9512987012987013, 0.9642857142857143, 0.9512987012987013, 0.9545454545454546, 0.9512987012987013, 0.9577922077922078, 0.9512987012987013, 0.9577922077922078, 0.9577922077922078, 0.9512987012987013, 0.9545454545454546, 0.9545454545454546, 0.9545454545454546, 0.9545454545454546]"
