learning_rate,batch_size,dropout_rate,train_losses,train_accuracies,test_accuracies,final_acc,tpr,fpr,recall
0.0001,16,0.1,"[0.41000926397680265, 0.287202753914081, 0.20636317252628203, 0.1407785888730995, 0.11959195680976883, 0.07978704103488263, 0.05296496374275141, 0.04706476592587504, 0.0269328421087769, 0.017503148252220175, 0.01205035729288328, 0.00944872074495486, 0.010871587597530305, 0.00784998500144215, 0.005137297166587134, 0.0035338632482278154, 0.0035940163132802743, 0.003054249901097359, 0.002998902535868612, 0.0027699054607826217, 0.0022596380319370606, 0.0022468068487412197, 0.0016947728354574703, 0.001185915063937929, 0.0032125771400609575]","[0.8154471544715447, 0.8788617886178862, 0.9154471544715447, 0.9528455284552846, 0.9609756097560975, 0.9772357723577236, 0.9845528455284552, 0.991869918699187, 0.9959349593495935, 1.0, 0.9991869918699187, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9991869918699187]","[0.8668831168831169, 0.8863636363636364, 0.9188311688311688, 0.9448051948051948, 0.9448051948051948, 0.9545454545454546, 0.9642857142857143, 0.9577922077922078, 0.9577922077922078, 0.9707792207792207, 0.974025974025974, 0.974025974025974, 0.9707792207792207, 0.974025974025974, 0.974025974025974, 0.9675324675324676, 0.9772727272727273, 0.9707792207792207, 0.9772727272727273, 0.9772727272727273, 0.974025974025974, 0.9772727272727273, 0.974025974025974, 0.9772727272727273, 0.974025974025974]",0.974025974025974,[0.98684211],[0.0625],[0.98684211]
0.0001,16,0.2,"[0.4217098494855369, 0.2958694007338547, 0.21313195210404512, 0.15380384762112687, 0.1099007312905013, 0.10650200053625475, 0.05705452313631531, 0.03305501648929061, 0.026900145132851796, 0.021420294446189227, 0.015102351790036612, 0.011010598079339276, 0.008341664371906015, 0.0064076301757231115, 0.0068289600634508256, 0.0040706382034634185, 0.003698862277395357, 0.003145919312775983, 0.0029993008511761824, 0.002785367470582932, 0.0025100502628469614, 0.0018057587079522085, 0.0017061799757534684, 0.0012057936797675683, 0.0010581026667713877]","[0.802439024390244, 0.8682926829268293, 0.9195121951219513, 0.9414634146341463, 0.9642276422764228, 0.9609756097560975, 0.9869918699186991, 0.9943089430894309, 0.9983739837398374, 0.9983739837398374, 0.9991869918699187, 1.0, 1.0, 0.9991869918699187, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8344155844155844, 0.8766233766233766, 0.9188311688311688, 0.9318181818181818, 0.8831168831168831, 0.9448051948051948, 0.935064935064935, 0.9512987012987013, 0.961038961038961, 0.9512987012987013, 0.9577922077922078, 0.9512987012987013, 0.9512987012987013, 0.9577922077922078, 0.9545454545454546, 0.961038961038961, 0.9545454545454546, 0.9577922077922078, 0.9577922077922078, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.961038961038961, 0.961038961038961, 0.9642857142857143]",0.9642857142857143,[0.98684211],[0.1],[0.98684211]
0.0001,16,0.3,"[0.417391154339643, 0.27635730572832307, 0.20557050423893503, 0.15853720234661567, 0.1165455261381661, 0.09377606963602508, 0.07303516497699226, 0.05200409823195721, 0.03135347027422451, 0.02197409147108958, 0.019963749561731407, 0.012053512418415489, 0.010755811876246357, 0.008236256950322872, 0.00596736303068758, 0.006967064526454523, 0.00441387974414823, 0.003701100007789891, 0.0030557621792867418, 0.0023997416015623546, 0.0023195150720970175, 0.0020804506751171095, 0.002145515821355478, 0.0015335915417115135, 0.0016068330860878454]","[0.7943089430894309, 0.8821138211382114, 0.9219512195121952, 0.9357723577235773, 0.9626016260162602, 0.975609756097561, 0.9796747967479674, 0.9878048780487805, 0.9951219512195122, 0.9975609756097561, 0.9975609756097561, 0.9991869918699187, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8668831168831169, 0.8961038961038961, 0.9285714285714286, 0.9383116883116883, 0.9512987012987013, 0.9545454545454546, 0.9577922077922078, 0.9642857142857143, 0.961038961038961, 0.948051948051948, 0.9675324675324676, 0.9642857142857143, 0.9675324675324676, 0.9675324675324676, 0.9642857142857143, 0.9577922077922078, 0.9675324675324676, 0.9675324675324676, 0.9675324675324676, 0.9707792207792207, 0.9675324675324676, 0.9675324675324676, 0.9675324675324676, 0.9642857142857143, 0.9707792207792207]",0.9707792207792207,[1.],[0.1125],[1.]
0.0001,16,0.4,"[0.4587392397043182, 0.3113618874937538, 0.24705402012762984, 0.18550948035426257, 0.1461618348592665, 0.10453941125453003, 0.08304089007338858, 0.05452103742012163, 0.03594684396241981, 0.031382500592286026, 0.02024879543701323, 0.014805626174117006, 0.013362904600193345, 0.009820360490461675, 0.008635861597712931, 0.006725574000852137, 0.006063591312935076, 0.0044363420322249695, 0.004194546181981156, 0.004324917987223745, 0.0032904349776681483, 0.00204846607502247, 0.0020540636791885505, 0.0016170475963215396, 0.002269787579865717]","[0.7894308943089431, 0.8617886178861789, 0.9105691056910569, 0.9235772357723577, 0.9463414634146341, 0.9642276422764228, 0.9780487804878049, 0.9886178861788618, 0.9959349593495935, 0.9934959349593496, 0.9991869918699187, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 0.9983739837398374, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8409090909090909, 0.8376623376623377, 0.8928571428571429, 0.9383116883116883, 0.9318181818181818, 0.9285714285714286, 0.922077922077922, 0.9415584415584416, 0.9512987012987013, 0.9642857142857143, 0.961038961038961, 0.9577922077922078, 0.9675324675324676, 0.9675324675324676, 0.961038961038961, 0.961038961038961, 0.9707792207792207, 0.9675324675324676, 0.9707792207792207, 0.9642857142857143, 0.9675324675324676, 0.9675324675324676, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143]",0.9642857142857143,[0.99561404],[0.125],[0.99561404]
0.0001,32,0.1,"[0.4534130687393793, 0.3274711866204332, 0.23702209160579898, 0.1920760017584979, 0.13276780131386548, 0.10570481196651614, 0.082243314288496, 0.05890505083087014, 0.0526625005997778, 0.03700893954108886, 0.03474321445919634, 0.019218570902580168, 0.014332646919732414, 0.010544575223835503, 0.010134683049670079, 0.006889644209522663, 0.005723502177260513, 0.005442605081309632, 0.0051389185757171815, 0.004215016405332864, 0.003976652046620119, 0.0035630680348088103, 0.002641772027922476, 0.002528265256404392, 0.002408741122278256]","[0.7886178861788617, 0.8569105691056911, 0.9097560975609756, 0.9276422764227642, 0.9577235772357724, 0.9658536585365853, 0.9796747967479674, 0.9861788617886179, 0.9878048780487805, 0.9943089430894309, 0.9943089430894309, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7987012987012987, 0.8701298701298701, 0.8993506493506493, 0.935064935064935, 0.9253246753246753, 0.935064935064935, 0.9448051948051948, 0.9383116883116883, 0.9188311688311688, 0.9512987012987013, 0.961038961038961, 0.9577922077922078, 0.9642857142857143, 0.9642857142857143, 0.9675324675324676, 0.961038961038961, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.961038961038961, 0.9675324675324676, 0.9642857142857143, 0.9642857142857143, 0.9675324675324676]",0.9675324675324676,[0.99122807],[0.1],[0.99122807]
0.0001,32,0.2,"[0.4282786369081435, 0.2978993747777086, 0.238493832618725, 0.18303517801005667, 0.1559216642888581, 0.12012853084540949, 0.09610491656675571, 0.07192411919434866, 0.051099940092583014, 0.04510569302289467, 0.031224236074017316, 0.026286529480078355, 0.02224296050645956, 0.016997825390303402, 0.02023586240801506, 0.012907348567150473, 0.008917349377435034, 0.007412887731097578, 0.006291564957170588, 0.004544653238660497, 0.004935862467722679, 0.003366359549657843, 0.0028697790123704, 0.0028277281092525257, 0.003095120200092291]","[0.8032520325203252, 0.8699186991869918, 0.9016260162601626, 0.9333333333333333, 0.9471544715447154, 0.9617886178861789, 0.9739837398373984, 0.9869918699186991, 0.989430894308943, 0.9926829268292683, 0.9983739837398374, 0.9959349593495935, 0.9983739837398374, 0.9991869918699187, 0.9967479674796748, 1.0, 1.0, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8409090909090909, 0.8733766233766234, 0.9058441558441559, 0.9123376623376623, 0.9318181818181818, 0.9383116883116883, 0.9448051948051948, 0.9415584415584416, 0.9545454545454546, 0.948051948051948, 0.9512987012987013, 0.9512987012987013, 0.9545454545454546, 0.9545454545454546, 0.9512987012987013, 0.9577922077922078, 0.9512987012987013, 0.9545454545454546, 0.9577922077922078, 0.9512987012987013, 0.9545454545454546, 0.9512987012987013, 0.9512987012987013, 0.9512987012987013, 0.9545454545454546]",0.9545454545454546,[0.98245614],[0.125],[0.98245614]
0.0001,32,0.3,"[0.44844571264778693, 0.3156908249467369, 0.2649011773064854, 0.20169965212907248, 0.16731567281048473, 0.12765413602677786, 0.10768357942986294, 0.08984635649173241, 0.0716368841446512, 0.06784031462015175, 0.047490728728291465, 0.03898766223734956, 0.029156538147509584, 0.022367444814644692, 0.01713619355142601, 0.014945319485737057, 0.011801433663936408, 0.010960156929383917, 0.008278847537268468, 0.007482379995952777, 0.0066668940321883054, 0.005094498663201807, 0.0044609754581034665, 0.0051754617298824515, 0.0038187218114461114]","[0.7926829268292683, 0.8666666666666667, 0.8886178861788618, 0.926829268292683, 0.9357723577235773, 0.9577235772357724, 0.9642276422764228, 0.973170731707317, 0.9780487804878049, 0.9829268292682927, 0.9902439024390244, 0.9910569105691057, 0.9959349593495935, 0.9975609756097561, 1.0, 0.9983739837398374, 0.9991869918699187, 1.0, 1.0, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0]","[0.814935064935065, 0.8766233766233766, 0.9123376623376623, 0.922077922077922, 0.922077922077922, 0.935064935064935, 0.922077922077922, 0.948051948051948, 0.9090909090909091, 0.9577922077922078, 0.9577922077922078, 0.9577922077922078, 0.9577922077922078, 0.9577922077922078, 0.961038961038961, 0.9512987012987013, 0.9577922077922078, 0.948051948051948, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.9577922077922078, 0.9577922077922078, 0.9577922077922078]",0.9577922077922078,[0.98684211],[0.125],[0.98684211]
0.0001,32,0.4,"[0.471199128734387, 0.3501482897657689, 0.2664642552050149, 0.2323312465252915, 0.18143899464994911, 0.15763836258310612, 0.11614125031765883, 0.10402909187766594, 0.08426486222240014, 0.06298687534361351, 0.049777372859842406, 0.040423301807264, 0.035491279111342214, 0.023775287899302274, 0.018728715378215643, 0.01631687201741265, 0.015670929953637648, 0.010714629301574172, 0.009205348070377742, 0.008520928904701902, 0.009784864888685506, 0.005868835136960677, 0.005139012843733881, 0.007138888716765838, 0.0044519723661819366]","[0.7747967479674797, 0.8365853658536585, 0.8975609756097561, 0.9040650406504065, 0.9341463414634147, 0.9422764227642276, 0.9617886178861789, 0.9682926829268292, 0.9772357723577236, 0.9829268292682927, 0.9878048780487805, 0.9943089430894309, 0.9943089430894309, 0.9991869918699187, 1.0, 1.0, 0.9975609756097561, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9991869918699187, 1.0]","[0.8246753246753247, 0.8506493506493507, 0.9025974025974026, 0.9090909090909091, 0.9188311688311688, 0.922077922077922, 0.9383116883116883, 0.9285714285714286, 0.9545454545454546, 0.9545454545454546, 0.9058441558441559, 0.9448051948051948, 0.9545454545454546, 0.9545454545454546, 0.9545454545454546, 0.948051948051948, 0.9545454545454546, 0.9577922077922078, 0.9545454545454546, 0.9448051948051948, 0.9545454545454546, 0.948051948051948, 0.948051948051948, 0.961038961038961, 0.948051948051948]",0.948051948051948,[0.95614035],[0.075],[0.95614035]
0.0001,64,0.1,"[0.5193302993851948, 0.3641622884486749, 0.3169526795061623, 0.27212650000564453, 0.23399855676220685, 0.19999350171263625, 0.1777892878748537, 0.14364127446480882, 0.12041929290304339, 0.09862383280585452, 0.08401826057976823, 0.07303688269320542, 0.07008504108866541, 0.04914097084201933, 0.043646872746266004, 0.03914560881572041, 0.03124010230346424, 0.024798996261949462, 0.02231815153566318, 0.020226709974732825, 0.018163259202856722, 0.014251641798915901, 0.010831626227534398, 0.011283114013390813, 0.009452018904976729]","[0.7585365853658537, 0.832520325203252, 0.8691056910569106, 0.8902439024390244, 0.8934959349593496, 0.9284552845528455, 0.9373983739837398, 0.9577235772357724, 0.9682926829268292, 0.9747967479674797, 0.9796747967479674, 0.9829268292682927, 0.9804878048780488, 0.9926829268292683, 0.9926829268292683, 0.9943089430894309, 0.9951219512195122, 0.9983739837398374, 0.9967479674796748, 0.9983739837398374, 0.9991869918699187, 0.9991869918699187, 1.0, 0.9991869918699187, 0.9991869918699187]","[0.7402597402597403, 0.8441558441558441, 0.8571428571428571, 0.8733766233766234, 0.8863636363636364, 0.9090909090909091, 0.8961038961038961, 0.935064935064935, 0.9383116883116883, 0.9545454545454546, 0.9415584415584416, 0.9545454545454546, 0.9383116883116883, 0.9383116883116883, 0.9545454545454546, 0.948051948051948, 0.9512987012987013, 0.9545454545454546, 0.9512987012987013, 0.948051948051948, 0.9512987012987013, 0.961038961038961, 0.9642857142857143, 0.961038961038961, 0.9512987012987013]",0.9512987012987013,[0.99122807],[0.1625],[0.99122807]
0.0001,64,0.2,"[0.48299029503411395, 0.359014392771372, 0.29494693981922737, 0.237695377047469, 0.19968441152960303, 0.16398838518596276, 0.14947912770558178, 0.1321212994616206, 0.10957103980992867, 0.0798799059739927, 0.07092219815869641, 0.052221060774432934, 0.04524374427349587, 0.042176347637806484, 0.03917130740677438, 0.026721972937324666, 0.027498935992882504, 0.022837737544886466, 0.016314119309550377, 0.014363025737608351, 0.013907843045284593, 0.011553446824351946, 0.010165325085806653, 0.010439259334792936, 0.007253856881998661]","[0.7577235772357723, 0.8544715447154472, 0.8764227642276423, 0.9105691056910569, 0.9227642276422764, 0.9455284552845529, 0.9422764227642276, 0.9495934959349593, 0.9642276422764228, 0.9788617886178862, 0.983739837398374, 0.991869918699187, 0.991869918699187, 0.9951219512195122, 0.9967479674796748, 1.0, 0.9975609756097561, 0.9983739837398374, 1.0, 1.0, 0.9983739837398374, 1.0, 1.0, 1.0, 1.0]","[0.7402597402597403, 0.8474025974025974, 0.8798701298701299, 0.8506493506493507, 0.9090909090909091, 0.9188311688311688, 0.935064935064935, 0.922077922077922, 0.9415584415584416, 0.9448051948051948, 0.9318181818181818, 0.9415584415584416, 0.935064935064935, 0.948051948051948, 0.9512987012987013, 0.9415584415584416, 0.9577922077922078, 0.9512987012987013, 0.9415584415584416, 0.9545454545454546, 0.9545454545454546, 0.9448051948051948, 0.9577922077922078, 0.9415584415584416, 0.9448051948051948]",0.9448051948051948,[0.96929825],[0.125],[0.96929825]
